"Source:","C:\Users\Johannes\Google Drive\Elektronikprojekte\SprinklerBoardESP32V3\SprinklerBoardESP32V3.kicad_sch"
"Date:","07.07.2023 16:58:54"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Footprint_1","Height","LCSC Part #","LCSC Part#","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","Reference_1","Value_1"
"","","C1","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","C15525","","","","","","","","","",""
"","","C2","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"","","C3","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"","","C4","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C5","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C6","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C7","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C167339","","","","","","","","","","",""
"","","C8","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C9","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"","","C11","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"","","C12","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C13","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C14","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","","","","","","","","","","",""
"","","C15","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"","","D1","1N5819","Diode:1N5819","Diode_SMD:D_SOD-323","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","C191023","","","","","","","","","","",""
"","","D2","SMAJ36CA-13-F","Sprinkler_Vers_2.5_routed-eagle-import:SMAJ36CA-13-F","Diode_SMD:D_SMA","","","","","","","","","C10757","","","","","","","","","","",""
"","","D3","LED_red","Device:LED_Small","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C434449","","","","","","","","","","",""
"","","D4","MB10S","MB10S:MB10S","MB10S:SOIC245P670X290-4N","C2488","Unavailable","","","MB10S Series 0.5 A 1000 V Low Leakage SMT Bridge Rectifier - SOIC-4","","","","C2488","","ON Semiconductor","MB10S","","","","","SOIC-4 ON Semiconductor","None","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"","","D6","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"","","D7","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"","","D8","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"","","D9","D_TVS_Dual_AAC","Device:D_TVS_Dual_AAC","Package_TO_SOT_SMD:SOT-23","~","","","","","","","","C32677","","","","","","","","","","",""
"","","D10","1N5819","Diode:1N5819","Diode_SMD:D_SOD-323","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","C191023","","","","","","","","","","",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
"","","IC1","ESP32-C6-WROOM-1-N8","ESP32-C6-WROOM-1-N8:ESP32-C6-WROOM-1-N8","ESP32-C6:ESP32C6WROOM1N8","","","","","","https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_datasheet_en.pdf","ESP32C6WROOM1N8","3.25","","","","","Espressif Systems","ESP32-C6-WROOM-1-N8","356-ESP32C6WROOM1N8","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-C6-WROOM-1-N8?qs=8Wlm6%252BaMh8ST02Gmwp74cw%3D%3D","","","IC","ESP32-C6-WROOM-1-N8"
"","","J1","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical_SMD","~","","","","","","","","","","","","","","","","","","",""
"","","J2","JTAG","Connector:Conn_01x04_Female","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","J3","USB-Tag","838-22-006-10-001101:USB-Tag","USB-Tag:USB-Tag_6pol","","","","","","","","","","","","","","","","","","","",""
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","J5","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","J6","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","J7","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","J8","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"","","K1","G3VM-62J1","G3VM-62J1:G3VM-62J1","J-SOP8_OMR","","","","","","","","","C726024","","","","","","","","","","",""
"","","K2","G3VM-62J1","G3VM-62J1:G3VM-62J1","J-SOP8_OMR","","","","","","","","","C726024","","","","","","","","","","",""
"","","R1","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"","","R2","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"","","R4","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"","","R5","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"","","R6","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"","","R7","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"","","R8","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"","","R9","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"","","R10","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R11","10","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25077","","","","","","","","","","",""
"","","R12","10","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25077","","","","","","","","","","",""
"","","R13","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R14","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R15","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R16","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R17","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R18","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R19","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","R20","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"","","T1","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T2","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T3","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T4","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T5","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T6","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T7","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","T8","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"","","U1","TSR_1-2433","Regulator_Switching:TSR_1-2450","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","http://www.tracopower.com/products/tsr1.pdf","","","","","","","","","","","","","","","","","","",""
"","","U2","MAX3485","Interface_UART:MAX3485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf","","","","","","","","C18148","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Footprint_1","Height","LCSC Part #","LCSC Part#","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","Reference_1","Value_1"
"1","9","C1, C4, C5, C6, C8, C9, C12, C13, C14","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C15525","C15525","","","","","","","","","",""
"2","5","C2, C3, C10, C11, C15","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C1525","","","","","","","","","","",""
"3","1","C7","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","C167339","","","","","","","","","","",""
"4","2","D1, D10","1N5819","Diode:1N5819","Diode_SMD:D_SOD-323","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","","","","C191023","","","","","","","","","","",""
"5","1","D2","SMAJ36CA-13-F","Sprinkler_Vers_2.5_routed-eagle-import:SMAJ36CA-13-F","Diode_SMD:D_SMA","","","","","","","","","C10757","","","","","","","","","","",""
"6","1","D3","LED_red","Device:LED_Small","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C434449","","","","","","","","","","",""
"7","1","D4","MB10S","MB10S:MB10S","MB10S:SOIC245P670X290-4N","C2488","Unavailable","","","MB10S Series 0.5 A 1000 V Low Leakage SMT Bridge Rectifier - SOIC-4","","","","C2488","","ON Semiconductor","MB10S","","","","","SOIC-4 ON Semiconductor","None","",""
"8","4","D5, D6, D7, D8","LED","Device:LED","LED_SMD:LED_0402_1005Metric","~","","","","","","","","C130724","","","","","","","","","","",""
"9","1","D9","D_TVS_Dual_AAC","Device:D_TVS_Dual_AAC","Package_TO_SOT_SMD:SOT-23","~","","","","","","","","C32677","","","","","","","","","","",""
"10","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","","","","","","","","","","","","","","",""
"11","1","IC1","ESP32-C6-WROOM-1-N8","ESP32-C6-WROOM-1-N8:ESP32-C6-WROOM-1-N8","ESP32-C6:ESP32C6WROOM1N8","","","","","","https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_datasheet_en.pdf","ESP32C6WROOM1N8","3.25","","","","","Espressif Systems","ESP32-C6-WROOM-1-N8","356-ESP32C6WROOM1N8","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-C6-WROOM-1-N8?qs=8Wlm6%252BaMh8ST02Gmwp74cw%3D%3D","","","IC","ESP32-C6-WROOM-1-N8"
"12","1","J1","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical_SMD","~","","","","","","","","","","","","","","","","","","",""
"13","1","J2","JTAG","Connector:Conn_01x04_Female","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"14","1","J3","USB-Tag","838-22-006-10-001101:USB-Tag","USB-Tag:USB-Tag_6pol","","","","","","","","","","","","","","","","","","","",""
"15","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"16","2","J5, J6","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"17","1","J7","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"18","1","J8","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"19","2","K1, K2","G3VM-62J1","G3VM-62J1:G3VM-62J1","J-SOP8_OMR","","","","","","","","","C726024","","","","","","","","","","",""
"20","4","R1, R2, R3, R4","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"21","5","R5, R6, R7, R8, R9","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"22","9","R10, R13, R14, R15, R16, R17, R18, R19, R20","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"23","2","R11, R12","10","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25077","","","","","","","","","","",""
"24","8","T1, T2, T3, T4, T5, T6, T7, T8","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"25","1","U1","TSR_1-2433","Regulator_Switching:TSR_1-2450","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","http://www.tracopower.com/products/tsr1.pdf","","","","","","","","","","","","","","","","","","",""
"26","1","U2","MAX3485","Interface_UART:MAX3485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf","","","","","","","","C18148","","","","","","","","","","",""
